Company Name,Company Website,Lead Contact (LC),ATS used
AAVE,https://aave.com/,Muna,Lever
Aragon ,https://aragon.org/,Alex,Lever
Bebob,https://bebop.xyz/,Ishaq Namajee,Lever
Chainlink,https://chain.link/,Jonathan,Lever
Crypto.com,https://crypto.com/,Tom Lau,Lever
Polygon,https://polygon.technology/,Chethan,Lever
Sei Labs,https://www.sei.io/,Clinton,Lever
Wintermute,https://www.wintermute.com/,Ishaq Namajee,Lever
Aave Labs,https://aave.com/,,Lever
Aragon,https://aragon.org/,,Lever
Binance,https://binance.org/,,Lever
ChainLink Labs,https://chain.link/,,Lever
Dapper Labs,https://dapperlabs.com/,,Lever
Ethena,https://ethena.fi/,,Lever
Fuel Labs,https://fuel.network/,,Lever
Immutable,https://immutable.com/,,Lever
Offchain Labs,https://offchainlabs.com/,,Lever
Sei Labs,https://sei.io/,,Lever
1inch,https://1inch.com/,,Lever
Argent ,https://www.argent.xyz/,Niahm Joyce,Greenhouse
Commonwealth Labs,https://common.xyz/,Dillon Chen,Greenhouse
Ritual ,https://ritual.net/,Stef ,Greenhouse
Alchemy,https://alchemy.com/,,Greenhouse
Ava Labs,https://avalabs.org/,,Greenhouse
Aztec,https://aztec.com/,,Greenhouse
BitGo,https://bitgo.com/,,Greenhouse
Blockchain.com,https://blockchain.com/,,Greenhouse
Coinbase,https://coinbase.com/,,Greenhouse
Eco,https://eco.com/,,Greenhouse
Gauntlet,https://gauntlet.org/,,Greenhouse
Hashgraph,https://hashgraph.com/,,Greenhouse
Hedera,https://hedera.org/,,Greenhouse
NEAR,https://near.org/,,Greenhouse
OKX,https://okx.org/,,Greenhouse
Solana,https://solana.com/,,Greenhouse
Affinidi,https://affinidi.com/,,Greenhouse
August Digital ,https://www.augustdigital.io/,Suresh,Wellfound
Blockhouse Capital ,https://blockhouse.app/,Aaditya and Pranav ,Ashby
Caldera,caldera.xyz,Jake,Ashby
Divine Research ,divineresearch.xyz,Monchi,Ashby
Ether.fi,ether.fi,Leila,Ashby
LuminoAI ,https://www.luminolabs.ai/,Eshan ,Ashby
Nuveaux Trading / Vigil Markets,https://vigilmarkets.com/,Soumya,Ashby
0x,https://0x.org/,,Ashby
0x Protocol,https://0x.com/,,Ashby
EigenLayer,https://eigenlayer.xyz/,,Ashby
Injective Labs,https://injectivelabs.org/,,Ashby
Ledger,https://ledger.com/,,Ashby
Mysten Labs,https://mystenlabs.com/,,Ashby
Phantom,https://phantom.com/,,Ashby
Polygon Labs,https://polygon.technology/,,Ashby
Ramp Network,https://ramp.com/,,Ashby
Worldcoin,https://worldcoin.org/,,Ashby
Category Labs,https://category.xyz/,,Ashby
Gelato Network,https://www.gelato.network/,Joe McMullin,Workable 
Superfluid ,https://www.superfluid.finance/,Jade Southern,Workable 
Gnosis,https://www.gnosis.io/,Lorenza,Personio 
IOTA Foundation,https://www.iota.org/,Alex,Personio
Gnosis,https://gnosis.io/,,Personio
Morpho ,morpho.org,Renan,Recruitee
Nexus Mutual ,https://nexusmutual.io/,Rox,Recruitee
Optimism,https://www.optimism.io/,Harper,Greenhouse 
Request Network,https://request.network/en/,Yoann Marion,Lever 
Zerion,https://zerion.io/,Alina Kashyeva,Lever 
Yield Guild Games,https://www.yieldguild.io/,Trish and Ve ,Breezy
Kiln,https://kiln.com/,,BambooHR
Berachain,https://berachain.com/,,Polymer
Gelato,https://gelato.network/,,Workable
Reown,https://reown.com/,,Workable
WeatherXM,https://weatherxm.com/,,Workable
Aptos,https://aptos.com/,,Workday
Avail,https://availproject.org/,,Keka
Chiliz,https://chiliz.com/,,Deel
Altitude,https://www.altitude.fi/,Tobias,
Balancer,https://balancer.fi/,Fernando,
