company_name,company_website,ats,job_title,job_location,job_type,job_salary,job_description_short,job_contact_person,job_contact_email,job_url,source_raw,date
Alchemy,https://alchemy.com/,Greenhouse,"Executive Assistant, Founders",New York,,,,,,https://job-boards.greenhouse.io/alchemy/jobs/4595576005,https://boards-api.greenhouse.io/v1/boards/alchemy/jobs,2025-12-20
Alchemy,https://alchemy.com/,Greenhouse,"Executive Assistant, Founders",San Francisco,,,,,,https://job-boards.greenhouse.io/alchemy/jobs/4514511005,https://boards-api.greenhouse.io/v1/boards/alchemy/jobs,2025-12-20
Alchemy,https://alchemy.com/,Greenhouse,"Product Lead, Solana","New York, New York, United States, San Francisco, California, United States",,,,,,https://job-boards.greenhouse.io/alchemy/jobs/4642183005,https://boards-api.greenhouse.io/v1/boards/alchemy/jobs,2025-12-20
BitGo,https://bitgo.com/,Greenhouse,Product Designer,"Toronto, Ontario, Canada",,,,,,https://job-boards.greenhouse.io/bitgo/jobs/8192226002,https://boards-api.greenhouse.io/v1/boards/bitgo/jobs,2025-12-20
BitGo,https://bitgo.com/,Greenhouse,Product Designer,"San Francisco, California, United States",,,,,,https://job-boards.greenhouse.io/bitgo/jobs/7818438002,https://boards-api.greenhouse.io/v1/boards/bitgo/jobs,2025-12-20
BitGo,https://bitgo.com/,Greenhouse,Product Designer,"New York, United States",,,,,,https://job-boards.greenhouse.io/bitgo/jobs/8192224002,https://boards-api.greenhouse.io/v1/boards/bitgo/jobs,2025-12-20
Coinbase,https://coinbase.com/,Greenhouse,"Compliance, US Investigations Associate",Remote - USA,,,,,,https://www.coinbase.com/careers/positions/7438615?gh_jid=7438615,https://boards-api.greenhouse.io/v1/boards/coinbase/jobs,2025-12-20
OKX,https://okx.org/,Greenhouse,"Business Development Manager, Affiliates & VIPs",Poland (Remote),,,,,,https://job-boards.greenhouse.io/okx/jobs/7569061003,https://boards-api.greenhouse.io/v1/boards/okx/jobs,2025-12-20
Affinidi,https://affinidi.com/,Greenhouse,"Backend Engineer, Senior (Rust)","London, England, United Kingdom",,,,,,https://job-boards.greenhouse.io/affinidi/jobs/7568644003,https://boards-api.greenhouse.io/v1/boards/affinidi/jobs,2025-12-20
Affinidi,https://affinidi.com/,Greenhouse,"Backend Engineer, Senior (Rust)","Dublin, Dublin, Ireland",,,,,,https://job-boards.greenhouse.io/affinidi/jobs/7568641003,https://boards-api.greenhouse.io/v1/boards/affinidi/jobs,2025-12-20
Affinidi,https://affinidi.com/,Greenhouse,"Backend Engineer, Senior (Rust) ","Berlin, Germany",,,,,,https://job-boards.greenhouse.io/affinidi/jobs/7568639003,https://boards-api.greenhouse.io/v1/boards/affinidi/jobs,2025-12-20
Affinidi,https://affinidi.com/,Greenhouse,Senior Backend Engineer (Rust) (m/f/d),"London, England, United Kingdom",,,,,,https://job-boards.greenhouse.io/affinidi/jobs/7568590003,https://boards-api.greenhouse.io/v1/boards/affinidi/jobs,2025-12-20
Affinidi,https://affinidi.com/,Greenhouse,Senior Backend Engineer (Rust) (m/f/d),"Berlin, Germany",,,,,,https://job-boards.greenhouse.io/affinidi/jobs/7568593003,https://boards-api.greenhouse.io/v1/boards/affinidi/jobs,2025-12-20
Affinidi,https://affinidi.com/,Greenhouse,Senior Backend Engineer (Rust) (m/f/d),"Dublin, Dublin, Ireland",,,,,,https://job-boards.greenhouse.io/affinidi/jobs/7568588003,https://boards-api.greenhouse.io/v1/boards/affinidi/jobs,2025-12-20
0x,https://0x.org/,Ashby,Sr. Account Executive (Field Sales),Remote,FullTime,,"COMPANY

At 0x https://0x.org/, our mission is to ""Create a Tokenized World Where All Forms of Value Can Flow Freely"". We deliver this to web3 builders with a delightfully simple suite of developer APIs that provide faster trading, better prices, and superior user experience.

Founded in 2017, we’ve processed over 78M+ transactions and $140B+ in trading volume from users trading on Matcha, Coinbase Wallet, Robinhood Wallet, Phantom, Rainbow, DefiLlama, MetaMask, Zerion, Zapper, and many more. Ou",,,https://jobs.ashbyhq.com/0x/c3f622bb-1cae-4a17-a4ca-26e94cd0a283,https://api.ashbyhq.com/posting-api/job-board/0x?includeCompensation=true,2025-12-20
0x Protocol,https://0x.com/,Ashby,Sr. Account Executive (Field Sales),Remote,FullTime,,"COMPANY

At 0x https://0x.org/, our mission is to ""Create a Tokenized World Where All Forms of Value Can Flow Freely"". We deliver this to web3 builders with a delightfully simple suite of developer APIs that provide faster trading, better prices, and superior user experience.

Founded in 2017, we’ve processed over 78M+ transactions and $140B+ in trading volume from users trading on Matcha, Coinbase Wallet, Robinhood Wallet, Phantom, Rainbow, DefiLlama, MetaMask, Zerion, Zapper, and many more. Ou",,,https://jobs.ashbyhq.com/0x/c3f622bb-1cae-4a17-a4ca-26e94cd0a283,https://api.ashbyhq.com/posting-api/job-board/0x?includeCompensation=true,2025-12-20
Ramp Network,https://ramp.com/,Ashby,Software Engineer Internship | Forward Deployed,"New York, NY (HQ)",Intern,,"ABOUT RAMP

At Ramp, we’re rethinking how modern finance teams function in the age of AI. We believe AI isn’t just the next big wave. It’s the new foundation for how business gets done. We’re investing in that future — and in the people bold enough to build it.

Ramp is a financial operations platform designed to save companies time and money. Our all-in-one solution combines payments, corporate cards, vendor management, procurement, travel booking, and automated bookkeeping with built-in intell",,,https://jobs.ashbyhq.com/ramp/ccb1aca4-79ac-414b-b7d8-bc908c575ef1,https://api.ashbyhq.com/posting-api/job-board/ramp?includeCompensation=true,2025-12-20
Category Labs,https://category.xyz/,Ashby,Technical Program Manager,New York,FullTime,,"Category Labs https://category.xyz/ (formerly known as Monad Labs) is a team of systems engineers and researchers on a mission to design and build at the frontier of decentralized technology. We strive to design and build step-function improvements over existing blockchain solutions. After raising $225M in series A funding, led by Paradigm, we are growing our team, laser-focused on delivering the first client for the Monad https://www.monad.xyz/ blockchain.


THE ROLE

We're looking for a Techni",,,https://jobs.ashbyhq.com/category-labs/bdfe89a6-83f6-4ab3-b642-180b7e2814a9,https://api.ashbyhq.com/posting-api/job-board/category-labs?includeCompensation=true,2025-12-20
Morpho,morpho.org,Recruitee,Integrations Engineer - APAC,Remote job,,,"<h3><span style=""color:#ffffff"">About Morpho<br></span></h3><p><span style=""color:#ffffff"">Morpho is a leading Decentralized Finance (DeFi) lending protocol that recently secured</span><a rel=""noopener"" target=""_blank"" href=""https://www.coindesk.com/business/2024/08/01/crypto-lending-firm-morpho-bags-50m-in-funding-round-led-by-ribbit-capital/?utm_campaign=coindesk_main&utm_source=twitter&utm_content=editorial&utm_medium=social&utm_term=organic""><span style=""color:#ffffff""> $50 million in fundin",Renan,,https://morpho.recruitee.com/o/integrations-engineer-apac,https://morpho.recruitee.com/api/offers/,2025-12-20
